Neuron,Type,Location,Description,Neurotransmitter/Neuropeptide,Innexin Expression,Receptor expression,Function
IL2L,Sensory neuron,Head,"Neurons of inner labial sensilla, ciliated endings without rootlets. IL2 dendrite ending protrudes through the hole in the socket cell to the outside, hence, it is suggested that IL2 neurons are chemosensory. Stains with DiI/Ca Acetate, DiO (Burket et al., 2006), Di4ANEPPS, and RH421 (Mille and Shakes, 1995).",,,"Express alpha subunit of a nicotinic acetylcholine receptor, DES-2 (Treinin. et al., 2001). IL2L/R express neuropeptide Y receptor like protein, NPR-1 (Coates and de Bono, 2002).",
IL2R,Sensory neuron,Head,"Neurons of inner labial sensilla, ciliated endings without rootlets. IL2 dendrite ending protrudes through the hole in the socket cell to the outside, hence, it is suggested that IL2 neurons are chemosensory. Stains with DiI/Ca Acetate, DiO (Burket et al., 2006), Di4ANEPPS, and RH421 (Mille and Shakes, 1995).",,,"Express alpha subunit of a nicotinic acetylcholine receptor, DES-2 (Treinin. et al., 2001). IL2L/R express neuropeptide Y receptor like protein, NPR-1 (Coates and de Bono, 2002).",
IL2VL,Sensory neuron,Head,"Neurons of inner labial sensilla, ciliated endings without rootlets. IL2 dendrite ending protrudes through the hole in the socket cell to the outside, hence, it is suggested that IL2 neurons are chemosensory. Stains with DiI/Ca Acetate, DiO (Burket et al., 2006), Di4ANEPPS, and RH421 (Mille and Shakes, 1995).",,,"Express alpha subunit of a nicotinic acetylcholine receptor, DES-2 (Treinin. et al., 2001). IL2L/R express neuropeptide Y receptor like protein, NPR-1 (Coates and de Bono, 2002).",
IL2VR,Sensory neuron,Head,"Neurons of inner labial sensilla, ciliated endings without rootlets. IL2 dendrite ending protrudes through the hole in the socket cell to the outside, hence, it is suggested that IL2 neurons are chemosensory. Stains with DiI/Ca Acetate, DiO (Burket et al., 2006), Di4ANEPPS, and RH421 (Mille and Shakes, 1995).",,,"Express alpha subunit of a nicotinic acetylcholine receptor, DES-2 (Treinin. et al., 2001). IL2L/R express neuropeptide Y receptor like protein, NPR-1 (Coates and de Bono, 2002).",
LUAL,Interneuron,Left lumbar ganglia,"Interneuron, short process in post ventral cord","Express neuropeptide-like protein NLP-13 (Nathoo et al., 2001).",,"Express glutamate receptor subunit GLR-5 (Brockie et al., 2001). Express a splice variant of the tyramine receptor SER-2 (Tsalik et al., 2003).","Suggested to be a ""connector cell"" between the PLM touch receptors, with which they make gap junctions along the lumbar commissures, and AVA/D interneurons, with which they make chemical synapses in the ventral cord (Chalfie et al., 1985). However, laser ablation does not lead to any abnormalities of movement or touch sensitivity (Chalfie et al., 1985) and no role in tap-withdrawal reflex has been found (Wicks and Rankin, 1995)."
LUAR,Interneuron,Right lumbar ganglia,"Interneuron, short process in post ventral cord","Express neuropeptide-like protein NLP-13 (Nathoo et al., 2001).",,"Express glutamate receptor subunit GLR-5 (Brockie et al., 2001). Express a splice variant of the tyramine receptor SER-2 (Tsalik et al., 2003).","Suggested to be a ""connector cell"" between the PLM touch receptors, with which they make gap junctions along the lumbar commissures, and AVA/D interneurons, with which they make chemical synapses in the ventral cord (Chalfie et al., 1985). However, laser ablation does not lead to any abnormalities of movement or touch sensitivity (Chalfie et al., 1985) and no role in tap-withdrawal reflex has been found (Wicks and Rankin, 1995)."
M1,Motor neuron,Pharynx posterior bulb,"The cell body of M1 is located subdorsally between the muscle and right marginal cell. A single process runs anteriorly in this position to the nerve ring where it then joins the dorsal nerve cord. Upon reaching the level of pm1, the process splits into two to send a vesicle-filled process to each of the subventral nerve cords, synapsing on pm1 and pm2 before reaching the cords. These then run posteriorly for a short length and form synapses on pm2 and pm3 (Albertson and Thomson, 1976).","Possibly acetylcholine (Duerr et al., 2008). Express neuropeptide-like protein NLP-3 (Nathoo et al., 2001).",,"Expresses glutamate receptor subunits, GLR-2 (Brockie et al., 2001). Suggested to express a subunit of the glutamate-gated chloride channel, AVR-14 (Cook et al., 2006; Brockie and Maricq, 2006","Unknown or redundant (Avery and Thomas, 1997)."
M2L,Motor neuron,Pharynx posterior bulb,"M2L/R are a pair of unipolar neurons with processes which run anteriorly in the subventral nerve cords. After making synapses on pm5, these processes travel past the pharyngeal nerve ring without changing course. They then travel dorsally piercing through pm4 while making motor synapses on pm4 along this course. These are one of the two pharyngeal neuron pairs (the other, M3) that do not make their dorsal turn within the nerve ring but more anteriorly within the muscle cells. They terminate in gap junctions to each other when they meet on the dorsal side (Albertson and Thomson, 1976).","Possibly acetylcholine (Duerr et al., 2008). Express the FMRFamide-related neuropeptides (FaRP), FLP-18 and FLP-21 (Rogers et al., 2003). Express neuropeptide-like proteins NLP-3 and NLP-13 (Nathoo et al., 2001).",,,"Unknown or redundant (Avery and Thomas, 1997; Chiang et al., 2002)."
M2R,Motor neuron,Pharynx posterior bulb,"M2L/R are a pair of unipolar neurons with processes which run anteriorly in the subventral nerve cords. After making synapses on pm5, these processes travel past the pharyngeal nerve ring without changing course. They then travel dorsally piercing through pm4 while making motor synapses on pm4 along this course. These are one of the two pharyngeal neuron pairs (the other, M3) that do not make their dorsal turn within the nerve ring but more anteriorly within the muscle cells. They terminate in gap junctions to each other when they meet on the dorsal side (Albertson and Thomson, 1976).","Possibly acetylcholine (Duerr et al., 2008). Express the FMRFamide-related neuropeptides (FaRP), FLP-18 and FLP-21 (Rogers et al., 2003). Express neuropeptide-like proteins NLP-3 and NLP-13 (Nathoo et al., 2001).",,,"Unknown or redundant (Avery and Thomas, 1997; Chiang et al., 2002)."
M3L,Motor neuron,Pharynx posterior bulb,"M3s are a bilaterally symmetric pair of inhibitory glutamatergic neurons with output to the metacorpus and possibly the isthmus. They are bipolar neurons with a posterior dendrite and an anterodorsal axon. The posterior process is approximately 5 µm and makes an occasional single synapse to pm5. The anterior projection of these cells grows past the nerve ring, and sends one branch to the dorsal side through pm4 similar to the process of M2 neuron. An additional branch runs posteriorly between pm4 and pm5 at the outside of the pharynx to just behind the nerve ring and terminates with neuromuscular synapses on the posterior edge of pm4. The branches to the dorsal side make no neuromuscular synapses along their dorsal trajectory, but similar to the two subventral branches, they pass posteriorly between pm4 and pm5 at the dorsal edge of the pharynx and form synapses on pm4 behind the nerve ring (Albertson and Thomson, 1976)..","Possibly glutamate (express the glutamate transporter, GLT-1) (Radice and Visser, 1996, Lee et al., 1999). Express the FMRFamide-related neuropeptide (FaRP), FLP-18 (Rogers et al., 2003). Express neuropeptide-like protein, NLP-3 (Nathoo et al., 2001).",,"Express glutamate receptor subunit GLR-8 (Brockie et al., 2001). Express neuropeptide Y receptor like protein, NPR-1 (Coates and de Bono, 2002).","M3s modulate the timing of pharyngeal relaxation in corpus and promote rapid relaxation of the pharyngeal muscle following contraction. When M3s are decoupled from the pharyngeal muscle by mutating the postsynaptic receptor (a glutamate-gated chloride channel partly encoded by avr-15) for M3 neurotransmission, the duration of pharyngeal contraction increases (Dent et al., 1997). Each M3 is suggested to be proprioceptive and fire in response to corpus muscle contraction, which, in turn, induces inhibitory postsynaptic potentials (repolarization) and relaxation of the muscle. This relaxation seems to be important for effective transport of bacteria within the lumen (Avery and Thomas, 1997). Exogenous serotonin mimics the presence of food and induces rapid contraction-relaxation cycles with shortened action potentials in pharynx. This effect is dependent on MC and M3 neurons (see model below) (Niacaris and Avery, 2003)."
M3R,Motor neuron,Pharynx posterior bulb,"M3s are a bilaterally symmetric pair of inhibitory glutamatergic neurons with output to the metacorpus and possibly the isthmus. They are bipolar neurons with a posterior dendrite and an anterodorsal axon. The posterior process is approximately 5 µm and makes an occasional single synapse to pm5. The anterior projection of these cells grows past the nerve ring, and sends one branch to the dorsal side through pm4 similar to the process of M2 neuron. An additional branch runs posteriorly between pm4 and pm5 at the outside of the pharynx to just behind the nerve ring and terminates with neuromuscular synapses on the posterior edge of pm4. The branches to the dorsal side make no neuromuscular synapses along their dorsal trajectory, but similar to the two subventral branches, they pass posteriorly between pm4 and pm5 at the dorsal edge of the pharynx and form synapses on pm4 behind the nerve ring (Albertson and Thomson, 1976)..","Possibly glutamate (express the glutamate transporter, GLT-1) (Radice and Visser, 1996, Lee et al., 1999). Express the FMRFamide-related neuropeptide (FaRP), FLP-18 (Rogers et al., 2003). Express neuropeptide-like protein, NLP-3 (Nathoo et al., 2001).",,"Express glutamate receptor subunit GLR-8 (Brockie et al., 2001). Express neuropeptide Y receptor like protein, NPR-1 (Coates and de Bono, 2002).","M3s modulate the timing of pharyngeal relaxation in corpus and promote rapid relaxation of the pharyngeal muscle following contraction. When M3s are decoupled from the pharyngeal muscle by mutating the postsynaptic receptor (a glutamate-gated chloride channel partly encoded by avr-15) for M3 neurotransmission, the duration of pharyngeal contraction increases (Dent et al., 1997). Each M3 is suggested to be proprioceptive and fire in response to corpus muscle contraction, which, in turn, induces inhibitory postsynaptic potentials (repolarization) and relaxation of the muscle. This relaxation seems to be important for effective transport of bacteria within the lumen (Avery and Thomas, 1997). Exogenous serotonin mimics the presence of food and induces rapid contraction-relaxation cycles with shortened action potentials in pharynx. This effect is dependent on MC and M3 neurons (see model below) (Niacaris and Avery, 2003)."
M4,Motor neuron,Pharynx anterior bulb,"The cell body of M4 is located dorsally at the level of the nerve ring. M4 sends two ventral branches, which run around the nerve ring on each side. These processes then cross to the other side and continue to run posteriorly in the subventral nerve cords. In the isthmus, M4 makes neuromuscular synapses on pm5. The two processes turn dorsally in the terminal bulb commissure, meet each other in gap junctions and run anteriorly in the dorsal nerve cord for some variable distance through the isthmus before ending. These also make synapses on pm5 on the dorsal side. Unlike other pharyngeal motor neurons, M4 contains darkly-staining vesicles, similar to the 65 nm dense core vesicles associated with some amphidial neurones (Albertson and Thomson, 1976).","Possibly acetylcholine (Duerr et al., 2008). Express the FMRFamide-related neuropeptide (FaRP), FLP-21 (Rogers et al., 2003).",,"Expresses G-alpha(s) coupled 5-HT7-like receptor, SER7b (Hobson et al., 2003). Expresses glutamate receptor subunit GLR-8 (Brockie et al., 2001).","M4 is essential for feeding in wild- type worms. M4 synapses on the isthmus and the terminal bulb, and is necessary for posterior isthmus peristalsis (Avery and Thomas, 1997). Worms lacking M4 continue pumping, however, bacteria become trapped in corpus and anterior isthmus and these worms fail to grow since they can not pass the food to their intestines."
